"Post
Code",Locality Name
3669,Boho South
3669,Boho South
3531,Boigbeat
3490,Boinka
3860,Boisdale
3387,Bolangum
3432,Bolinda
3546,Bolton
3305,Bolwarra
3352,Bolwarrah
3820,Bona Vista
3820,Bona Vista
3888,Bonang
3196,Bonbeach
3196,Bonbeach
3691,Bonegilla
3939,Boneo
3561,Bonn
3335,Bonnie Brook
3335,Bonnie Brook
3720,Bonnie Doon
3352,Bonshaw
3260,Bookaar
3260,Bookaar
3960,Boolarong
3960,Boolarong
3870,Boolarra
3870,Boolarra South
3880,Boole Poole
3392,Boolite
3728,Boomahnoomoonah
3235,Boonah
3265,Boorcan
3678,Boorhaman
3678,Boorhaman East
3685,Boorhaman North
3723,Boorolite
3953,Boorool
3537,Boort
3730,Boosey
3682,Boralma
3379,Bornes Hill
3155,Boronia
3155,Boronia
3155,Boronia
3155,Boronia
3155,Boronia
3518,Borung
3260,Bostocks Creek
3260,Bostocks Creek
3977,Botanic Ridge
3599,Boundary Bend
3465,Bowenvale
3675,Boweya
3675,Boweya
3675,Boweya North
3735,Bowmans Forest
3678,Bowser
3128,Box Hill
3128,Box Hill
3129,Box Hill North
3128,Box Hill South
3128,Box Hill South
3725,Boxwood
3725,Boxwood
3463,Bradford
3361,Bradvale
3195,Braeside
3821,Brandy Creek
3302,Branxholme
3302,Branxholme
3302,Branxholme
3821,Bravington
3019,Braybrook
3303,Breakaway Creek
3219,Breakwater
3227,Breamlea
3227,Breamlea
3517,Brenanah
3352,Brewster
3352,Brewster
3860,Briagolong
3088,Briar Hill
3088,Briar Hill
3088,Briar Hill
3723,Bridge Creek
3516,Bridgewater
3516,Bridgewater North
3516,Bridgewater On Loddon
3741,Bright
3186,Brighton
3186,Brighton
3186,Brighton
3187,Brighton East
3187,Brighton East
3187,Brighton East
3187,Brighton East
3187,Brighton East
3391,Brim
3312,Brimboal
3685,Brimin
3401,Brimpaen
3319,Bringalbert
3315,Brit Brit
3658,Broadford
3875,Broadlands
3047,Broadmeadows
3301,Broadwater
3888,Brodribb River
3673,Broken Creek
3472,Bromley
3338,Brookfield
3012,Brooklyn
3012,Brooklyn
3896,Brookville
3364,Broomfield
3418,Broughton
3418,Broughton
3350,Brown Hill
3350,Brown Hill
3350,Brown Hill
3685,Browns Plains
3749,Bruarong
3268,Brucknell
3056,Brunswick
3056,Brunswick
3057,Brunswick East
3057,Brunswick East
3055,Brunswick West
3055,Brunswick West
3055,Brunswick West
3055,Brunswick West
3885,Bruthen
3375,Buangor
3375,Buangor
3375,Buangor
3885,Buchan
3885,Buchan South
3740,Buckland
3240,Buckley
3301,Buckley Swamp
3525,Buckrabanyule
3525,Buckrabanyule
3870,Budgeree
3579,Budgerum East
3958,Buffalo
3958,Buffalo
3737,Buffalo River
3314,Bulart
3890,Buldah
3586,Bulga
3377,Bulgana
3428,Bulla
3428,Bulla
3266,Bullaharre
3352,Bullarook
3352,Bullarook
3461,Bullarto
3461,Bullarto South
3461,Bullarto South
3105,Bulleen
3105,Bulleen
3437,Bullengarook
3700,Bullioh
3875,Bullumwaal
3821,Buln Buln
3821,Buln Buln East
3902,Bumberrah
3634,Bunbartha
3851,Bundalaguah
3730,Bundalong
3730,Bundalong South
3342,Bunding
3083,Bundoora
3083,Bundoora
3083,Bundoora
3083,Bundoora
3465,Bung Bong
3465,Bung Bong
3260,Bungador
3334,Bungal
3401,Bungalally
3352,Bungaree
3726,Bungeet
3726,Bungeet West
3691,Bungil
3527,Bunguluke
3357,Buninyong
3357,Buninyong
3352,Bunkers Hill
3815,Bunyip
3815,Bunyip
3815,Bunyip North
3568,Burkes Bridge
3475,Burkes Flat
3371,Burnbank
3558,Burnewang
3121,Burnley
3023,Burnside
3023,Burnside Heights
3559,Burramboot
3559,Burramboot
3730,Burramine
3730,Burramine South
3709,Burrowye
3352,Burrumbeet
3352,Burrumbeet
3352,Burrumbeet
3125,Burwood
3125,Burwood
3125,Burwood
3151,Burwood East
3151,Burwood East
3151,Burwood East
3151,Burwood East
3281,Bushfield
3281,Bushfield
3860,Bushy Park
3885,Butchers Ridge
3711,Buxton
3301,Byaduk
3301,Byaduk
3300,Byaduk North
3678,Byawatha
3762,Bylands
3762,Bylands
3617,Byrneside
3505,Cabarita
3364,Cabbage Tree
3889,Cabbage Tree Creek
3442,Cadello
3023,Cairnlea
3984,Caldermeade
3556,California Gully
3556,California Gully
3573,Calivil
3573,Calivil
3387,Callawadda
3387,Callawadda
3844,Callignee
3844,Callignee North
3844,Callignee South
3971,Calrossie
3875,Calulu
3124,Camberwell
3124,Camberwell
3124,Camberwell
3124,Camberwell
3124,Camberwell
3124,Camberwell
3352,Cambrian Hill
3061,Campbellfield
3387,Campbells Bridge
3387,Campbells Bridge
3451,Campbells Creek
3451,Campbells Creek
3451,Campbells Creek
